Variable index;Variable type;Variable ID;Variable name;Variable data;Upper bound;Lower bound;Max;Min
140;FLUX;rxn05350_c0;rxn05350_c0;cpd00067_c0 + cpd11492_c0 + cpd11472_c0 => cpd00011_c0 + cpd11493_c0 + cpd11490_c0;1000;0;0;0
141;FORWARD_FLUX;rxn09198_c0;rxn09198_c0;2 cpd00067_c0 + cpd15553_c0 <=> cpd00011_c0 + cpd15529_c0;1000;0;0;0
142;REVERSE_FLUX;rxn09198_c0;rxn09198_c0;2 cpd00067_c0 + cpd15553_c0 <=> cpd00011_c0 + cpd15529_c0;1000;0;0;0
143;FORWARD_FLUX;rxn00148_c0;rxn00148_c0;cpd00002_c0 + cpd00020_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd00061_c0;1000;0;1000;0
144;REVERSE_FLUX;rxn00148_c0;rxn00148_c0;cpd00002_c0 + cpd00020_c0 <=> cpd00067_c0 + cpd00008_c0 + cpd00061_c0;1000;0;999.912;0
145;FLUX;rxn00100_c0;rxn00100_c0;cpd00002_c0 + cpd00655_c0 => cpd00010_c0 + cpd00067_c0 + cpd00008_c0;1000;0;0.000319926;3.19926e-05
146;REVERSE_FLUX;rxn00789_c0;rxn00789_c0;cpd00067_c0 + cpd00012_c0 + cpd01775_c0 <= cpd00002_c0 + cpd00103_c0;1000;0;0.00409474;0.000409474
147;FLUX;rxn02374_c0;rxn02374_c0;cpd00858_c0 => cpd00067_c0 + cpd00001_c0 + cpd02431_c0;1000;0;0.360952;0
148;FORWARD_FLUX;rxn03436_c0;rxn03436_c0;cpd00498_c0 <=> cpd10162_c0;1000;0;0.0168919;0.00168919
149;REVERSE_FLUX;rxn03436_c0;rxn03436_c0;cpd00498_c0 <=> cpd10162_c0;1000;0;0;0
150;FLUX;rxn08976_c0;rxn08976_c0;cpd00067_c0 + cpd00004_c0 + cpd15352_c0 => cpd00003_c0 + cpd15353_c0;1000;0;719.483;0
151;FORWARD_FLUX;rxn00781_c0;rxn00781_c0;cpd00003_c0 + cpd00009_c0 + cpd00102_c0 <=> cpd00067_c0 + cpd00004_c0 + cpd00203_c0;1000;0;999.987;0
152;REVERSE_FLUX;rxn00781_c0;rxn00781_c0;cpd00003_c0 + cpd00009_c0 + cpd00102_c0 <=> cpd00067_c0 + cpd00004_c0 + cpd00203_c0;1000;0;0.340404;0
153;REVERSE_FLUX;rxn05319_c0;rxn05319_c0;cpd00001_e0[e] <= cpd00001_c0;1000;0;6.9193;0.294027
