REACTIONS
ENTRY;DATABASE ID;EQUATION;Lower FLUX bound;Upper FLUX bound;Min FLUX;Max FLUX
39;rxn10228_c0;cpd00054_c0 + cpd15685_c0 => CMP_c0 + 2 H+_c0 + cpd15691_c0;0;1000;0;0
40;rxn05542_c0;ATP_c0 + H2O_c0 + cpd11585_e0[e] => H+_c0 + ADP_c0 + cpd00009_c0 + cpd11585_c0;0;1000;0;0
41;rxn00539_c0;cpd00162_c0 => NH3_c0 + cpd00071_c0;0;1000;0;0
42;rxn00678_c0;cpd00020_c0 + cpd00519_c0 <=> cpd00032_c0 + cpd00086_c0;-1000;1000;0;0
43;rxn03667_c0;H2O_c0 + cpd04393_c0 <=> H+_c0 + cpd00141_c0 + cpd00461_c0;-1000;1000;0;0
44;rxn00001_c0;H2O_c0 + PPi_c0 => H+_c0 + 2 cpd00009_c0;0;1000;0;1000
45;rxn05545_c0;ATP_c0 + H2O_c0 + cpd11582_e0[e] => H+_c0 + ADP_c0 + cpd00009_c0 + cpd11582_c0;0;1000;0;0
46;rxn06297_c0;cpd00017_c0 + cpd11767_c0 <=> 2 H+_c0 + cpd00147_c0 + cpd12564_c0;-1000;1000;0;0
47;rxn11268_c0;H+_e0[e] + PPi_e0[e] <= H+_c0 + PPi_c0;-1000;-0;-3.9979;-0
48;rxn00710_c0;H+_c0 + cpd00810_c0 => CO2_c0 + UMP_c0;0;1000;0.00106925;0.0106925
49;rxn01114_c0;ATP_c0 + cpd00258_c0 <=> H+_c0 + ADP_c0 + cpd00171_c0;-1000;1000;0.00046253;601.477
50;rxn04114_c0;cpd00017_c0 + cpd08454_c0 <=> H+_c0 + cpd00019_c0 + cpd08486_c0;-1000;1000;0;0
51;rxn02305_c0;cpd02654_c0 + cpd02894_c0 <=> PPi_c0 + cpd00793_c0;-1000;1000;1.59963e-05;0.000159963
52;rxn00470_c0;H+_c0 + cpd00064_c0 => CO2_c0 + cpd00118_c0;0;1000;3.19926e-05;0.000319926
53;rxn00910_c0;NADP_c0 + cpd00345_c0 <=> H+_c0 + NADPH_c0 + cpd00125_c0;-1000;1000;-1000;999.999
54;rxn11944_c0;H+_c0 + cpd00019_c0 + cpd02738_c0 <= cpd00017_c0 + cpd02555_c0;-1000;-0;-601.477;-0.000754165
55;rxn05541_c0;ATP_c0 + H2O_c0 + cpd11586_e0[e] => H+_c0 + ADP_c0 + cpd00009_c0 + cpd11586_c0;0;1000;0;0
56;rxn00717_c0;H+_c0 + H2O_c0 + cpd00307_c0 => NH3_c0 + Uracil_c0;0;1000;0;0
57;rxn01682_c0;cpd02210_c0 <=> cpd00102_c0 + indol_c0;-1000;1000;0;0.16388
58;rxn01604_c0;ATP_c0 + Formate_c0 + cpd00330_c0 <=> ADP_c0 + cpd00009_c0 + cpd02046_c0;-1000;1000;0;0
59;rxn06493_c0;NAD_c0 + cpd12225_c0 <=> H+_c0 + NADH_c0 + cpd12005_c0;-1000;1000;0;0
60;rxn12846_c0;H2O_c0 + Gly-Phe_c0 <=> Glycine_c0 + cpd00066_c0;-1000;1000;0;0
61;rxn00337_c0;ATP_c0 + cpd00041_c0 <=> ADP_c0 + cpd01977_c0;-1000;1000;0.00507557;0.305076
62;rxn05221_c0;cpd00129_e0[e] + Na+_e0[e] <=> cpd00129_c0 + Na+_c0;-1000;1000;-0.36;0
63;rxn08308_c0;CTP_c0 + cpd15523_c0 <=> H+_c0 + PPi_c0 + cpd15422_c0;-1000;1000;0;0
64;rxn00208_c0;H2O_c0 + O2_c0 + cpd00493_c0 => H2O2_c0 + NH3_c0 + cpd00016_c0;0;1000;0;0
65;rxn00140_c0;H2O_c0 + cAMP_c0 <=> H+_c0 + AMP_c0;-1000;1000;0;1000
66;rxn05346_c0;cpd11464_c0 + cpd11492_c0 => CO2_c0 + cpd11486_c0 + ACP_c0;0;1000;0;0
67;rxn05142_c0;H2O_c0 + NAD_c0 + cpd03333_c0 <=> 2 H+_c0 + NADH_c0 + cpd00373_c0;-1000;1000;-1000;1000
68;rxn05733_c0;cpd00722_c0 + trdrd_c0 + H2S2O3_c0 => H+_c0 + Acetate_c0 + cpd00084_c0 + trdox_c0 + Sulfite_c0;0;1000;0;0
69;rxn00416_c0;ATP_c0 + H2O_c0 + cpd00041_c0 + cpd00053_c0 => 2 H+_c0 + PPi_c0 + AMP_c0 + cpd00023_c0 + cpd00132_c0;0;1000;0.00103749;0.0103749
70;rxn00827_c0;CTP_c0 + Neu5Ac_c0 => H+_c0 + PPi_c0 + cpd00112_c0;0;1000;0;0
71;rxn09206_c0;cpd00054_c0 + cpd15423_c0 => CMP_c0 + 2 H+_c0 + cpd15553_c0;0;1000;0;0
72;rxn10147_c0;ATP_c0 + H2O_c0 + Cbl_e0[e] => H+_c0 + ADP_c0 + cpd00009_c0 + Cbl_c0;0;1000;0;0
73;rxn09209_c0;cpd00054_c0 + cpd15418_c0 => CMP_c0 + 2 H+_c0 + cpd15556_c0;0;1000;0;0
74;rxn12512_c0;ATP_c0 + cpd00084_c0 + cpd02201_c0 => 2 H+_c0 + PPi_c0 + AMP_c0 + cpd02666_c0;0;1000;0;0.000319926
75;rxn00902_c0;CoA_c0 + H+_c0 + cpd01646_c0 <= cpd00022_c0 + H2O_c0 + cpd00123_c0;-1000;-0;-0.0237931;-0.00237931
76;rxn06672_c0;ATP_c0 + H2CO3_c0 + cpd12848_c0 <=> H+_c0 + ADP_c0 + cpd00009_c0 + cpd12543_c0;-1000;1000;0;0
77;rxn00649_c0;cpd00722_c0 + H2S_c0 => Acetate_c0 + cpd00084_c0;0;1000;0;669.159
78;rxn06633_c0;cpd12390_c0 <=> cpd12358_c0;-1000;1000;0;0
79;rxn01739_c0;ATP_c0 + cpd00383_c0 <=> H+_c0 + ADP_c0 + cpd02030_c0;-1000;1000;0.00176148;0.165398
80;rxn01268_c0;NAD_c0 + cpd00219_c0 => NADH_c0 + CO2_c0 + cpd00868_c0;0;1000;0;0.00623413
81;rxn00641_c0;GTP_c0 + cpd00485_c0 <=> PPi_c0 + cpd00083_c0;-1000;1000;0;0
82;rxn12641_c0;H2O_c0 + cpd11585_c0 <=> Glycine_c0 + cpd00035_c0;-1000;1000;0;0
83;rxn00762_c0;NAD_c0 + cpd00100_c0 <=> H+_c0 + NADH_c0 + cpd00157_c0;-1000;1000;0;0
84;rxn08971_c0;H+_c0 + NADH_c0 + cpd15500_c0 => NAD_c0 + cpd15499_c0;0;1000;0;1.53659
85;rxn03057_c0;cpd02574_c0 <=> cpd02791_c0;-1000;1000;0;0
86;rxn04384_c0;ATP_c0 + cpd02547_c0 + cpd03917_c0 <=> H+_c0 + ADP_c0 + cpd00009_c0 + cpd03919_c0;-1000;1000;0;0
87;rxn03887_c0;cpd00652_c0 => H2O_c0 + cpd00515_c0;0;1000;0;0
88;rxn02775_c0;cpd00017_c0 + cpd01620_c0 <=> H+_c0 + cpd00019_c0 + cpd03420_c0;-1000;1000;0;0
89;rxn00060_c0;H2O_c0 + 4 cpd00689_c0 => 4 NH3_c0 + cpd00755_c0;0;1000;3.19926e-05;0.000319926
90;rxn00225_c0;ATP_c0 + Acetate_c0 <=> ADP_c0 + cpd00196_c0;-1000;1000;-999.897;1000
91;rxn05350_c0;H+_c0 + cpd11492_c0 + cpd11472_c0 => CO2_c0 + ACP_c0 + cpd11490_c0;0;1000;0;0
92;rxn09198_c0;2 H+_c0 + cpd15553_c0 <=> CO2_c0 + cpd15529_c0;-1000;1000;0;0
93;rxn00148_c0;ATP_c0 + cpd00020_c0 <=> H+_c0 + ADP_c0 + cpd00061_c0;-1000;1000;-999.912;1000
94;rxn00100_c0;ATP_c0 + cpd00655_c0 => CoA_c0 + H+_c0 + ADP_c0;0;1000;3.19926e-05;0.000319926
95;rxn00789_c0;H+_c0 + PPi_c0 + cpd01775_c0 <= ATP_c0 + PRPP_c0;-1000;-0;-0.00409474;-0.000409474
96;rxn02374_c0;cpd00858_c0 => H+_c0 + H2O_c0 + cpd02431_c0;0;1000;0;0.360952
97;rxn03436_c0;cpd00498_c0 <=> cpd10162_c0;-1000;1000;0.00168919;0.0168919
98;rxn08976_c0;H+_c0 + NADH_c0 + cpd15352_c0 => NAD_c0 + cpd15353_c0;0;1000;0;719.483
99;rxn00781_c0;NAD_c0 + cpd00009_c0 + cpd00102_c0 <=> H+_c0 + NADH_c0 + cpd00203_c0;-1000;1000;-0.340404;999.987
100;rxn05319_c0;H2O_e0[e] <= H2O_c0;-1000;-0;-6.9193;-0.294027
101;rxn05298_c0;Na+_e0[e] + cpd00023_e0[e] <=> cpd00023_c0 + Na+_c0;-1000;1000;-1000;1000
102;rxn08336_c0;cpd15500_c0 + cpd00282_c0 => cpd15499_c0 + Orotate_c0;0;1000;0;0.0106925
103;rxn05401_c0;H+_c0 + NADPH_c0 + cpd11537_c0 <=> NADP_c0 + cpd11538_c0;-1000;1000;0.00044006;0.0044006
104;rxn02264_c0;cpd00755_c0 <=> H2O_c0 + cpd00774_c0;-1000;1000;3.19926e-05;0.000319926
105;rxn09202_c0;2 H+_c0 + cpd15557_c0 <=> CO2_c0 + cpd15533_c0;-1000;1000;5.50076e-05;0.000550076
106;rxn02687_c0;NAD_c0 + cpd01357_c0 <=> H+_c0 + NADH_c0 + cpd01447_c0;-1000;1000;0;0
107;rxn00097_c0;ATP_c0 + H+_c0 + AMP_c0 <=> 2 ADP_c0;-1000;1000;-0.0628456;1000
108;rxn01217_c0;H+_c0 + H2O_c0 + dCMP_c0 => NH3_c0 + dUMP_c0;0;1000;0;0.000948846
109;rxn02212_c0;DAHP_c0 => cpd00009_c0 + cpd00699_c0;0;1000;0.00176148;0.165398
110;rxn07670_c0;cpd00192_c0 + cpd05630_c0 <=> CoA_c0 + cpd15065_c0;-1000;1000;0;0
111;rxn03535_c0;ATP_c0 + H+_c0 + cpd03915_c0 <=> cpd00421_c0 + cpd03916_c0;-1000;1000;0;0
112;rxn00692_c0;H2O_c0 + Glycine_c0 + cpd00125_c0 <=> cpd00054_c0 + cpd00087_c0;-1000;1000;-0.608204;-0.032341
113;rxn00802_c0;cpd02152_c0 <=> cpd00106_c0 + cpd00051_c0;-1000;1000;0.00127443;999.931
114;rxn00926_c0;H+_c0 + H2O_c0 + Adenine_c0 => NH3_c0 + HYXN_c0;0;1000;0.000850143;0.00850143
115;rxn10230_c0;cpd00054_c0 + cpd15687_c0 => CMP_c0 + 2 H+_c0 + cpd15693_c0;0;1000;0;0
116;rxn01997_c0;cpd00626_c0 => H2O_c0 + cpd00521_c0;0;1000;0.000129204;0.00129204
117;rxn08521_c0;2 H+_c0 + NADH_c0 + cpd00220_c0 <=> NAD_c0 + cpd00739_c0;-1000;1000;0;0
118;rxn01362_c0;H+_c0 + PPi_c0 + cpd00810_c0 <= PRPP_c0 + Orotate_c0;-1000;-0;-0.0106925;-0.00106925
119;rxn03174_c0;H2O_c0 + cpd02978_c0 <= cpd03666_c0;-1000;-0;-0.000479888;-0
120;rxn00549_c0;H2O_c0 + cpd00290_c0 => cpd00009_c0 + cpd00072_c0;0;1000;0.0050153;0.168652
121;rxn04779_c0;H+_c0 + H2O_c0 + cpd09846_c0 <=> NH3_c0 + cpd09847_c0;-1000;1000;0;0
122;rxn07875_c0;H2O_c0 + NAD_c0 + cpd01061_c0 <=> 2 H+_c0 + NADH_c0 + cpd15165_c0;-1000;1000;0;0
123;rxn01022_c0;cpd00009_c0 + cpd00147_c0 <=> cpd02574_c0 + Adenine_c0;-1000;1000;0;0
124;rxn05418_c0;H+_c0 + NADPH_c0 + cpd11554_c0 <=> NADP_c0 + cpd11555_c0;-1000;1000;0;0
125;rxn00506_c0;H2O_c0 + NAD_c0 + cpd00071_c0 => 2 H+_c0 + NADH_c0 + Acetate_c0;0;1000;0;999.918
126;rxn02113_c0;H+_c0 + ALCTT_c0 => CO2_c0 + ACTN_c0;0;1000;0;0
127;rxn10060_c0;NAD_c0 + TTP_c0 <=> H+_c0 + NADP_c0 + dTDP_c0;-1000;1000;-1000;1000
128;rxn00727_c0;cpd00053_c0 + cpd00216_c0 => H+_c0 + cpd00020_c0 + cpd00023_c0 + cpd00093_c0;0;1000;0;0.16388
129;rxn00465_c0;2 H+_c0 + H2O_c0 + cpd00274_c0 <=> CO2_c0 + NH3_c0 + cpd00064_c0;-1000;1000;-0.0127443;999.999
130;rxn12638_c0;H2O_c0 + cpd11588_c0 => Glycine_c0 + cpd00129_c0;0;1000;0;0
131;rxn05127_c0;H2O_c0 + NADP_c0 + cpd11341_c0 => 2 H+_c0 + NADPH_c0 + cpd11408_c0;0;1000;0;0
132;rxn00305_c0;cpd00032_c0 + GTP_c0 => CO2_c0 + cpd00061_c0 + GDP_c0;0;1000;0;999.997
133;rxn05248_c0;CoA_c0 + ATP_c0 + fa4_c0 => PPi_c0 + AMP_c0 + fa4coa_c0;0;1000;0;0
134;rxn05539_c0;ATP_c0 + H2O_c0 + Cys-Gly_e0[e] => H+_c0 + ADP_c0 + cpd00009_c0 + Cys-Gly_c0;0;1000;0;0
135;rxn05461_c0;H+_c0 + NADPH_c0 + cpd11570_c0 <=> NADP_c0 + cpd11571_c0;-1000;1000;0;0
136;rxn07312_c0;cpd00017_c0 + cpd01306_c0 <=> H+_c0 + cpd00019_c0 + cpd05727_c0;-1000;1000;0;0
137;rxn01701_c0;cpd00134_c0 + Retinol_c0 <=> CoA_c0 + cpd01691_c0;-1000;1000;0;0
138;rxn02159_c0;NAD_c0 + cpd00641_c0 <=> H+_c0 + NADH_c0 + cpd01324_c0;-1000;1000;0;1000
139;rxn10222_c0;CTP_c0 + cpd15679_c0 <=> H+_c0 + PPi_c0 + cpd15685_c0;-1000;1000;0;0
140;rxn10263_c0;cpd00080_c0 + cpd15687_c0 <=> CMP_c0 + cpd15720_c0;-1000;1000;0;0
141;rxn05466_c0;NH3_e0[e] <=> NH3_c0;-1000;1000;0.0431305;0.64313
142;rxn00917_c0;ATP_c0 + H2O_c0 + cpd00053_c0 + XMP_c0 => 3 H+_c0 + PPi_c0 + AMP_c0 + cpd00023_c0 + GMP_c0;0;1000;0.000850143;0.00850143
143;rxn00395_c0;H2O_c0 + cpd00051_c0 => NH3_c0 + cpd00274_c0;0;1000;0;999.93
144;rxn01292_c0;cpd00224_c0 <=> cpd00397_c0;-1000;1000;0;0
145;rxn02380_c0;cpd00863_c0 <=> cpd00072_c0;-1000;1000;-1000;999.999
146;rxn02026_c0;H2O_c0 + cpd02415_c0 <=> cpd00054_c0 + H+_c0 + cpd00285_c0;-1000;1000;0;0
147;rxn05234_c0;trdrd_c0 + GTP_c0 => H2O_c0 + trdox_c0 + dGTP_c0;0;1000;7.06528e-05;0.000706528
148;rxn01157_c0;cpd00186_c0 <=> H2O_c0 + cpd01512_c0;-1000;1000;0;0
149;rxn05957_c0;H2S_c0 + cpd00822_c0 => cpd00036_c0 + cpd00135_c0;0;1000;0;0
150;rxn05938_c0;cpd00022_c0 + H+_c0 + CO2_c0 + cpd11620_c0 <=> CoA_c0 + cpd00020_c0 + cpd11621_c0;-1000;1000;0.0774082;999.995
151;rxn03419_c0;H2O_c0 + cpd03518_c0 <=> H+_c0 + Formate_c0 + cpd03519_c0;-1000;1000;0;0.000479888
152;rxn11610_c0;H2O_c0 + cpd02734_c0 <=> H+_c0 + Formate_c0 + cpd03596_c0;-1000;1000;0;0
153;rxn04781_c0;H+_c0 + H2O_c0 + cpd09848_c0 <=> cpd03962_c0 + cpd09849_c0;-1000;1000;0;0
154;rxn05555_c0;ATP_c0 + H2O_c0 + Fe2+_e0[e] => H+_c0 + ADP_c0 + cpd00009_c0 + Fe2+_c0;0;1000;6.39851e-05;0.000639851
155;rxn09111_c0;cpd00080_c0 + cpd15419_c0 <=> CMP_c0 + cpd15545_c0;-1000;1000;0;0
156;rxn06078_c0;trdrd_c0 + H2S2O3_c0 + cpd00790_c0 => H+_c0 + Acetate_c0 + trdox_c0 + Sulfite_c0 + cpd00135_c0;0;1000;0;0
157;rxn00471_c0;cpd00064_c0 => NH3_c0 + cpd00129_c0;0;1000;0;0.360952
158;rxn05348_c0;cpd11492_c0 + cpd11474_c0 => CO2_c0 + ACP_c0 + cpd11489_c0;0;1000;0;0
159;rxn00798_c0;cpd00105_c0 <=> cpd00258_c0;-1000;1000;0.000850143;601.478
160;rxn00907_c0;NADP_c0 + cpd00125_c0 <=> NADPH_c0 + cpd00347_c0;-1000;1000;0.00366181;0.0366181
161;rxn00012_c0;2 Sucrose_c0 <=> cpd00027_c0 + cpd02298_c0;-1000;1000;0;0
162;rxn07721_c0;cpd00270_c0 + Cyanin_c0 <=> CoA_c0 + cpd15088_c0;-1000;1000;0;0
163;rxn12847_c0;H2O_c0 + Gly-Tyr_c0 <=> Glycine_c0 + cpd00069_c0;-1000;1000;0;0
164;rxn05410_c0;H+_c0 + NADPH_c0 + cpd11546_c0 <=> NADP_c0 + cpd11547_c0;-1000;1000;0;0
165;rxn09114_c0;cpd00080_c0 + cpd15420_c0 <=> CMP_c0 + cpd15548_c0;-1000;1000;0;0
166;rxn05535_c0;ATP_c0 + H2O_c0 + Gly-Met_e0[e] => H+_c0 + ADP_c0 + cpd00009_c0 + Gly-Met_c0;0;1000;0;0
167;rxn05345_c0;cpd11492_c0 + cpd11468_c0 => CO2_c0 + ACP_c0 + cpd11491_c0;0;1000;0.000516817;0.00516817
168;rxn04068_c0;H2O_c0 + cpd01318_c0 <=> Glycine_c0 + Cholate_c0;-1000;1000;0;0
169;rxn05422_c0;H+_c0 + NADPH_c0 + cpd11558_c0 <=> NADP_c0 + cpd11559_c0;-1000;1000;0;0
170;rxn01465_c0;H2O_c0 + cpd00282_c0 <=> H+_c0 + cpd00343_c0;-1000;1000;-0.0106925;-0.00106925
171;rxn06387_c0;2 H2O_c0 + MGDG_c0 <=> 2 H+_c0 + 2 cpd00049_c0 + cpd03197_c0;-1000;1000;0;0
172;rxn03052_c0;cpd02738_c0 + cpd00135_c0 <=> cpd02555_c0 + cpd00060_c0;-1000;1000;0.000754165;601.477
173;rxn09997_c0;H2O_c0 + AIR_c0 <=> H+_c0 + 0.5 O2_c0 + cpd00009_c0 + cpd00229_c0 + cpd00939_c0;-1000;1000;1.59963e-05;0.000159963
174;rxn05145_c0;ATP_c0 + H2O_c0 + cpd00009_e0[e] <=> H+_c0 + ADP_c0 + 2 cpd00009_c0;-1000;1000;-7.99581;1000
175;rxn01301_c0;NAD_c0 + cpd00227_c0 <=> H+_c0 + NADH_c0 + cpd00346_c0;-1000;1000;-1000;999.997
176;rxn01643_c0;cpd00009_c0 + NADP_c0 + cpd00346_c0 <= H+_c0 + NADPH_c0 + cpd01977_c0;-1000;-0;-0.305076;-0.00507557
177;rxn04457_c0;cpd09027_c0 => CO2_c0 + cpd01567_c0;0;1000;0;0
178;rxn00248_c0;NAD_c0 + cpd00130_c0 <=> H+_c0 + NADH_c0 + cpd00032_c0;-1000;1000;-1000;999.93
179;rxn00295_c0;cpd00037_c0 <=> cpd00175_c0;-1000;1000;0;0
180;rxn05385_c0;H+_c0 + NADPH_c0 + cpd11521_c0 <=> NADP_c0 + cpd11522_c0;-1000;1000;0.00044006;0.0044006
181;rxn00707_c0;ITP_c0 + cpd00367_c0 <=> CMP_c0 + H+_c0 + IDP_c0;-1000;1000;0;0
182;rxn06937_c0;ATP_c0 + cpd00023_c0 + cpd11912_c0 => H+_c0 + PPi_c0 + AMP_c0 + cpd12227_c0;0;1000;0.00025594;0.0025594
183;rxn01637_c0;cpd00024_c0 + cpd00342_c0 <=> cpd00023_c0 + cpd00918_c0;-1000;1000;-0.362259;-0.00130642
184;rxn03095_c0;H2O_c0 + cpd03244_c0 <=> Taurine_c0 + cpd02733_c0;-1000;1000;0;0
185;rxn02639_c0;cpd00086_c0 + cpd01237_c0 <=> CoA_c0 + cpd03248_c0;-1000;1000;0;0
186;rxn01269_c0;NADP_c0 + cpd00219_c0 => CO2_c0 + NADPH_c0 + cpd00868_c0;0;1000;0;0.00623413
187;rxn00747_c0;cpd00102_c0 <=> cpd00095_c0;-1000;1000;0.00603743;0.169674
188;rxn00830_c0;cpd00113_c0 <=> DMAPP_c0;-1000;1000;0.000177193;0.00177193
189;rxn10113_c0;2.5 H+_c0 + 0.5 O2_c0 + cpd15561_c0 => H2O_c0 + cpd15560_c0 + 2.5 H+_e0[e];0;1000;0;1.53659
190;rxn03406_c0;ATP_c0 + NH3_c0 + cpd03487_c0 => H+_c0 + ADP_c0 + cpd00009_c0 + cpd03488_c0;0;1000;0;0
191;rxn00029_c0;2 cpd00338_c0 => H+_c0 + 2 H2O_c0 + cpd00689_c0;0;1000;0.00012797;0.0012797
192;rxn00609_c0;cpd00867_c0 <=> cpd00079_c0;-1000;1000;0;0
193;rxn07734_c0;cpd00270_c0 + Delphin_c0 <=> CoA_c0 + cpd15029_c0;-1000;1000;0;0
194;rxn12646_c0;H2O_c0 + Gly-Gln_c0 <=> Glycine_c0 + cpd00053_c0;-1000;1000;0;0
195;rxn02175_c0;ATP_c0 + cpd00834_c0 <=> PPi_c0 + cpd00655_c0;-1000;1000;3.19926e-05;0.000319926
196;rxn00245_c0;cpd00666_c0 => H2O_c0 + cpd00032_c0;0;1000;0;0
197;rxn02835_c0;H2O_c0 + cpd01777_c0 <=> cpd02979_c0;-1000;1000;0.000409474;0.00409474
198;rxn04385_c0;H+_c0 + cpd08928_c0 => CO2_c0 + cpd02547_c0;0;1000;0;0
199;rxn01675_c0;TTP_c0 + cpd00089_c0 <=> PPi_c0 + cpd00626_c0;-1000;1000;0.000129204;0.00129204
200;rxn01575_c0;cpd00024_c0 + cpd00322_c0 <=> cpd00023_c0 + 3MOP_c0;-1000;1000;-0.0124913;-0.00124913
201;rxn01454_c0;CoA_c0 + H+_c0 + HMG-CoA_c0 <= cpd00022_c0 + H2O_c0 + cpd00279_c0;-1000;-0;-0.0180516;-0.00180516
202;rxn05150_c0;ATP_c0 + H2O_c0 + Zn2+_e0[e] => H+_c0 + ADP_c0 + cpd00009_c0 + Zn2+_c0;0;1000;0;1000
203;rxn00555_c0;cpd00053_c0 + cpd00072_c0 <=> cpd00023_c0 + cpd00288_c0;-1000;1000;0.000516817;0.00516817
204;rxn03282_c0;NAD_c0 + cpd03227_c0 <=> H+_c0 + NADH_c0 + cpd03228_c0;-1000;1000;0;0
205;rxn03435_c0;NADP_c0 + cpd02535_c0 <=> H+_c0 + NADPH_c0 + cpd10162_c0;-1000;1000;-0.0168919;-0.00168919
206;rxn03080_c0;cpd11225_c0 + cpd02882_c0 <=> H+_c0 + 2 H2O_c0 + cpd00009_c0 + cpd02656_c0;-1000;1000;6.39851e-05;0.000639851
