VarName;VarType;VarCompartment;VarMin;VarMax
rxn07875_c0;FORWARD_FLUX;c;0;0
rxn07875_c0;REVERSE_FLUX;c;0;0
rxn01022_c0;FORWARD_FLUX;c;0;0
rxn01022_c0;REVERSE_FLUX;c;0;0
rxn05418_c0;FORWARD_FLUX;c;0;0
rxn05418_c0;REVERSE_FLUX;c;0;0
rxn00506_c0;FLUX;c;0;999.918
rxn02113_c0;FLUX;c;0;0
rxn10060_c0;FORWARD_FLUX;c;0;1000
rxn10060_c0;REVERSE_FLUX;c;0;1000
rxn00727_c0;FLUX;c;0;0.16388
rxn00465_c0;FORWARD_FLUX;c;0;999.999
rxn00465_c0;REVERSE_FLUX;c;0;0.0127443
rxn12638_c0;FLUX;c;0;0
rxn05127_c0;FLUX;c;0;0
rxn00305_c0;FLUX;c;0;999.997
rxn05248_c0;FLUX;c;0;0
rxn05539_c0;FLUX;c;0;0
rxn05461_c0;FORWARD_FLUX;c;0;0
rxn05461_c0;REVERSE_FLUX;c;0;0
rxn07312_c0;FORWARD_FLUX;c;0;0
rxn07312_c0;REVERSE_FLUX;c;0;0
rxn01701_c0;FORWARD_FLUX;c;0;0
rxn01701_c0;REVERSE_FLUX;c;0;0
rxn02159_c0;FORWARD_FLUX;c;0;1000
rxn02159_c0;REVERSE_FLUX;c;0;0
rxn10222_c0;FORWARD_FLUX;c;0;0
rxn10222_c0;REVERSE_FLUX;c;0;0
rxn10263_c0;FORWARD_FLUX;c;0;0
rxn10263_c0;REVERSE_FLUX;c;0;0
rxn05466_c0;FORWARD_FLUX;c;0.0431305;0.64313
rxn05466_c0;REVERSE_FLUX;c;0;0
rxn00917_c0;FLUX;c;0.000850143;0.00850143
rxn00395_c0;FLUX;c;0;999.93
rxn01292_c0;FORWARD_FLUX;c;0;0
rxn01292_c0;REVERSE_FLUX;c;0;0
rxn02380_c0;FORWARD_FLUX;c;0;999.999
rxn02380_c0;REVERSE_FLUX;c;0;1000
rxn02026_c0;FORWARD_FLUX;c;0;0
rxn02026_c0;REVERSE_FLUX;c;0;0
rxn05234_c0;FLUX;c;7.06528e-05;0.000706528
rxn01157_c0;FORWARD_FLUX;c;0;0
rxn01157_c0;REVERSE_FLUX;c;0;0
rxn05957_c0;FLUX;c;0;0
rxn05938_c0;FORWARD_FLUX;c;0.0774082;999.995
rxn05938_c0;REVERSE_FLUX;c;0;0
rxn03419_c0;FORWARD_FLUX;c;0;0.000479888
rxn03419_c0;REVERSE_FLUX;c;0;0
rxn11610_c0;FORWARD_FLUX;c;0;0
rxn11610_c0;REVERSE_FLUX;c;0;0
rxn04781_c0;FORWARD_FLUX;c;0;0
rxn04781_c0;REVERSE_FLUX;c;0;0
rxn05555_c0;FLUX;c;6.39851e-05;0.000639851
rxn09111_c0;FORWARD_FLUX;c;0;0
rxn09111_c0;REVERSE_FLUX;c;0;0
rxn06078_c0;FLUX;c;0;0
rxn00471_c0;FLUX;c;0;0.360952
rxn05348_c0;FLUX;c;0;0
rxn00798_c0;FORWARD_FLUX;c;0.000850143;601.478
rxn00798_c0;REVERSE_FLUX;c;0;0
rxn00907_c0;FORWARD_FLUX;c;0.00366181;0.0366181
rxn00907_c0;REVERSE_FLUX;c;0;0
rxn00012_c0;FORWARD_FLUX;c;0;0
rxn00012_c0;REVERSE_FLUX;c;0;0
rxn07721_c0;FORWARD_FLUX;c;0;0
rxn07721_c0;REVERSE_FLUX;c;0;0
rxn12847_c0;FORWARD_FLUX;c;0;0
rxn12847_c0;REVERSE_FLUX;c;0;0
rxn05410_c0;FORWARD_FLUX;c;0;0
rxn05410_c0;REVERSE_FLUX;c;0;0
rxn09114_c0;FORWARD_FLUX;c;0;0
rxn09114_c0;REVERSE_FLUX;c;0;0
rxn05535_c0;FLUX;c;0;0
rxn05345_c0;FLUX;c;0.000516817;0.00516817
rxn04068_c0;FORWARD_FLUX;c;0;0
rxn04068_c0;REVERSE_FLUX;c;0;0
rxn05422_c0;FORWARD_FLUX;c;0;0
rxn05422_c0;REVERSE_FLUX;c;0;0
rxn01465_c0;FORWARD_FLUX;c;0;0
rxn01465_c0;REVERSE_FLUX;c;0.00106925;0.0106925
rxn06387_c0;FORWARD_FLUX;c;0;0
rxn06387_c0;REVERSE_FLUX;c;0;0
rxn03052_c0;FORWARD_FLUX;c;0.000754165;601.477
rxn03052_c0;REVERSE_FLUX;c;0;0
rxn09997_c0;FORWARD_FLUX;c;1.59963e-05;0.000159963
rxn09997_c0;REVERSE_FLUX;c;0;0
rxn05145_c0;FORWARD_FLUX;c;0;1000
rxn05145_c0;REVERSE_FLUX;c;0;7.99581
rxn01301_c0;FORWARD_FLUX;c;0;999.997
rxn01301_c0;REVERSE_FLUX;c;0;1000
rxn01643_c0;REVERSE_FLUX;c;0.00507557;0.305076
rxn04457_c0;FLUX;c;0;0
rxn00248_c0;FORWARD_FLUX;c;0;999.93
rxn00248_c0;REVERSE_FLUX;c;0;1000
rxn00295_c0;FORWARD_FLUX;c;0;0
rxn00295_c0;REVERSE_FLUX;c;0;0
rxn05385_c0;FORWARD_FLUX;c;0.00044006;0.0044006
rxn05385_c0;REVERSE_FLUX;c;0;0
rxn00707_c0;FORWARD_FLUX;c;0;0
rxn00707_c0;REVERSE_FLUX;c;0;0
